CODCLI;VENDAS;DATA
1256;420,54;01/10/2013
1616;201,032;25/09/2013
963;150,8;02/10/2013
123;759,99;03/10/2013
15;763,37;01/10/2013
1033;273,3;02/10/2013
142;1252,601;03/10/2013
150;395,4;26/09/2013
684;280,8;23/09/2013
1628;492;27/09/2013
1564;208,56;23/09/2013
179;968;26/09/2013
174;379;26/09/2013
1631;805,92;02/10/2013
1627;150,02;02/10/2013
716;449,505;02/10/2013
559;931,92;03/10/2013
1467;55;03/10/2013
462;695;27/09/2013
137;415;08/10/2013
423;177,15;30/09/2013
199;764,656;02/10/2013
1546;95,55;03/10/2013
1616;521,57;03/10/2013
1467;280;07/10/2013
431;182;08/10/2013
142;0;03/10/2013
462;293,76;30/09/2013
684;220,1;03/10/2013
1054;550,525;07/10/2013
684;473,399;07/10/2013
1171;170,765;30/09/2013
1576;388,04;30/09/2013
1481;182,26;04/10/2013
15;397,9;08/10/2013
459;80;08/10/2013
716;57,73;24/09/2013
410;3111;04/10/2013
1481;170,31;28/09/2013
1054;267,094;30/09/2013
1447;449,505;26/09/2013
410;7732,7;07/10/2013
892;312,42;02/10/2013
10;1240,25;23/09/2013
17;706,86;23/09/2013
294;388;23/09/2013
1114;508,4;23/09/2013
559;182,95;24/09/2013
431;23,15;03/10/2013
199;337;07/10/2013
1114;406,5;07/10/2013
15;271,46;23/09/2013
1144;338,82;23/09/2013
434;552,35;25/09/2013
387;860;25/09/2013
10;1236,318;07/10/2013
123;283,62;26/09/2013
1179;260,5;23/09/2013
1171;323,72;23/09/2013
1627;236,75;25/09/2013
10;501,96;22/10/2013
1114;210,4;14/10/2013
1054;561,712;22/10/2013
1114;212;22/10/2013
1481;0;22/10/2013
1481;194,3;22/10/2013
5;1104;23/10/2013
1033;330,57;09/10/2013
1171;259,03;14/10/2013
1616;159,398;09/10/2013
497;418,77;23/10/2013
410;3480,8;17/10/2013
1616;999,18;23/10/2013
1233;302,74;15/10/2013
5;63;23/10/2013
1481;186,7;10/10/2013
410;252;24/10/2013
338;743,67;10/10/2013
434;296,72;16/10/2013
1281;586,3;14/10/2013
1616;488,29;16/10/2013
142;274,3;16/10/2013
15;434,3;18/10/2013
1144;287,4;14/10/2013
122;409;17/10/2013
174;261,8;17/10/2013
1564;195,4;14/10/2013
1616;633,343;09/10/2013
1220;410,23;21/10/2013
739;193,78;10/10/2013
1220;59,5;16/10/2013
459;47;19/10/2013
410;11662,776;24/10/2013
1576;327,74;17/10/2013
5;1655,54;17/10/2013
199;507;22/10/2013
1752;159,1;23/10/2013
195;168;19/10/2013
1481;262,31;19/10/2013
15;153,7;09/10/2013
459;51,5;09/10/2013
740;396,29;14/10/2013
716;243,74;26/10/2013
1256;255;24/10/2013
1220;576;14/10/2013
199;155,4;10/10/2013
434;48;10/10/2013
765;405,48;22/10/2013
410;4156,5;16/10/2013
1213;0;17/10/2013
684;187,8;17/10/2013
1054;411,415;14/10/2013
1134;231;22/10/2013
423;150;22/10/2013
39;780;15/10/2013
765;304,677;15/10/2013
137;346,15;16/10/2013
1033;235;16/10/2013
715;600;16/10/2013
1546;11,94;17/10/2013
39;500;17/10/2013
431;257,5;22/10/2013
1480;250;16/10/2013
611;313,18;14/10/2013
1256;385;10/10/2013
262;160,2;11/10/2013
1213;1064,24;17/10/2013
272;277,78;22/10/2013
17;709,98;23/10/2013
1627;232,9;23/10/2013
5;1147,62;18/10/2013
1631;730,08;10/10/2013
824;249,6;10/10/2013
431;160;23/10/2013
611;286,552;09/10/2013
338;702,61;19/10/2013
1564;163,7;21/10/2013
39;908;25/10/2013
179;730,5;17/10/2013
150;321,5;17/10/2013
120;673,2;17/10/2013
1236;348;18/10/2013
716;49,5;22/10/2013
1179;242;14/10/2013
1226;461,51;09/10/2013
684;823,25;14/10/2013
716;1102,5;16/10/2013
1114;228,7;09/10/2013
431;165;19/10/2013
1144;456,8;21/10/2013
559;1299,86;22/10/2013
1462;171,4;23/10/2013
684;788,16;22/10/2013
410;417;22/10/2013
434;558,41;23/10/2013
15;446,57;24/10/2013
1220;0;10/10/2013
459;50;10/10/2013
410;285;17/10/2013
1631;238,5;16/10/2013
459;85,75;16/10/2013
15;351,1;16/10/2013
423;150,77;14/10/2013
12;234;17/10/2013
611;201,53;25/10/2013
1546;62,59;09/10/2013
740;128;24/10/2013
892;276,85;24/10/2013
410;1375;25/10/2013
5;570,36;14/10/2013
1256;66,5;19/10/2013
434;661,858;09/10/2013
1167;175,558;22/10/2013
1256;272,6;11/10/2013
431;30;14/10/2013
338;456,76;25/10/2013
1628;246;15/10/2013
132;526;17/10/2013
112;234;17/10/2013
1033;151;23/10/2013
39;327;11/10/2013
199;507;07/11/2013
1213;0;07/11/2013
684;539,05;28/10/2013
459;26;07/11/2013
684;161,064;08/11/2013
1220;397;28/10/2013
1054;308,548;04/11/2013
25;2347,8;04/11/2013
410;6596;08/11/2013
1171;261,32;28/10/2013
1179;232,286;04/11/2013
1233;207,15;09/11/2013
338;754,93;09/11/2013
459;52,94;09/11/2013
1513;103,53;09/11/2013
799;211;11/11/2013
105;153,6;29/10/2013
1054;696,9;11/11/2013
824;955,301;31/10/2013
1220;968,7;04/11/2013
1054;777,02;11/11/2013
15;328,6;12/11/2013
765;512,91;12/11/2013
423;150,12;12/11/2013
431;37,5;30/10/2013
1481;158,66;01/11/2013
1576;364,1;28/10/2013
765;331,249;29/10/2013
968;477,647;11/11/2013
1576;153,32;11/11/2013
5;655,5;28/10/2013
684;443,44;30/10/2013
1546;13,97;05/11/2013
1167;225,841;06/11/2013
410;415,65;06/11/2013
431;15,5;30/10/2013
684;217,548;01/11/2013
1752;166,9;06/11/2013
1616;274,59;05/11/2013
1033;197,25;06/11/2013
431;105;06/11/2013
1616;361,59;29/10/2013
963;152,7;30/10/2013
1171;184,6;04/11/2013
1226;885,51;29/10/2013
434;471,66;06/11/2013
17;508,39;04/11/2013
1054;781,427;28/10/2013
1564;150,7;04/11/2013
434;85,49;05/11/2013
1631;232,4;29/10/2013
150;316,5;06/11/2013
122;633;06/11/2013
1033;234,3;30/10/2013
459;150,8;01/11/2013
1631;730,08;06/11/2013
824;654,25;06/11/2013
968;697;28/10/2013
39;60,51;07/11/2013
1256;300,5;31/10/2013
611;230,47;04/11/2013
824;274,6;07/11/2013
1167;2890,02;26/10/2013
142;1320,95;31/10/2013
459;26;06/11/2013
652;186;01/11/2013
10;2145,89;04/11/2013
799;375;04/11/2013
